id,ja,en,ko,zh-Hans,zh-Hant,fr,es,de,,
# app info,,,,,,,,,,
BundleDisplayName,AppName,AppName,AppName,AppName,AppName,AppName,AppName,AppName,,
# format,,,,,,,,,,
settings_copy_right,Copyright ©︎ ch3cooh.jp All Rights Reserved.\nVersion %@(%@),Copyright ©︎ ch3cooh.jp All Rights Reserved.\nVersion %@(%@),Copyright ©︎ ch3cooh.jp All Rights Reserved.\nVersion %@(%@),Copyright ©︎ ch3cooh.jp All Rights Reserved.\nVersion %@(%@),Copyright ©︎ ch3cooh.jp All Rights Reserved.\nVersion %@(%@),Copyright ©︎ ch3cooh.jp All Rights Reserved.\nVersion %@(%@),Copyright ©︎ ch3cooh.jp All Rights Reserved.\nVersion %@(%@),Copyright ©︎ ch3cooh.jp All Rights Reserved.\nVersion %@(%@),,
# common,,,,,,,,,,
ok,OK,OK,확인,确定,確認,OK,OK,OK,,
cancel,キャンセル,Cancel,취소,取消,取消,Annuler,Cancelar,Abbrechen,,
close,閉じる,Close,닫기,关闭,關閉,Fermer,Cerrar,Schließen,,
save,保存,Save,저장,保存,保存,Save,Guardar,Speichern,,
delete,削除,Delete,삭제,删除,刪除,Supprimer,Borrar,Löschen,,
done,完了,Done,완료,完成,完成,Fait,Hecho,Fertig,,
edit,編集,Edit,편집,编辑,編輯,Éditer,Editar,Bearbeiten,,
error,エラー,Error,오류,错误,錯誤,Erreur,Error,Fehler,,
mail_address,メールアドレス,Email,이메일,电子邮件,電子郵件,Courriel,Correo electrónico,Email,,
password,パスワード,Password,비밀번호,密码,密碼,Mot de passe,Contraseña,Passwort,,
confirmation_code,確認コード,Confirmation Code,인증 코드,验证码,驗證代碼,Code de vérification,Código de verificación,Bestätigungscode,,
nickname,ユーザー名,Username,아이디,用户名,使用者名稱,Nom d’utilisateur,Nombre de usuario,Username,,
prev,戻る,Prev,이전,上一个,上一個,Précédente,Prev,Zurück,,
next,次へ,Next,다음,下一个,下一個,Prochain,Próxima,Weiter,,
add,追加,Add,추가하기,添加,添加,Ajouter,Agregar,Hinzufügen,,
select,選択,Select,선택,选择,選擇,Sélectionner,Select,Auswählen,,
update,更新,Update,업데이트,更新,更新,Mettre à jour,Actualizar,Update,,
open,開く,Open,열기,打开,開啟,Ouvrir,Abierto,Öffnen,,
download,ダウンロード,Downloads,다운로드,下载,下載,Téléchargements,Descargas,Downloads,,
login,ログイン,Login,로그인,登录,登入,Se connecter,Iniciar sesión,Login,,
logout,ログアウト,Logout,로그아웃,退出,登出,Déconnexion,Desconectarse,Logout,,
register,登録,Register,등록,注册,注冊,S'inscrire,Registrarse,Anmelden,,
on,On,On,켬,开,開啟,Activé,Activado,Ein,,
off,Off,Off,끔,关,關閉,Désactivé,Desactivado,Aus,,
skip,あとで,Skip,Skip,Skip,Skip,Skip,Skip,Skip,,
